row_id,variant_id,base_model,source,model,dc_solution,rating,label,iteration,condition
gemma3_generalist_06_20260629_112333,gemma3_generalist,gemma3,llm,generalist,DC solution design tool,4,Very important,6,zeroshot
gemma3_normative_06_20260629_112333,gemma3_normative,gemma3,llm,normative,DC solution design tool,4,Very important,6,zeroshot
gemma3_subject-matter_06_20260629_112333,gemma3_subject-matter,gemma3,llm,subject-matter,DC solution design tool,4,Very important,6,zeroshot
phi4_generalist_07_20260629_112503,phi4_generalist,phi4,llm,generalist,DC solution design tool,4,Very important,7,zeroshot
phi4_normative_07_20260629_112503,phi4_normative,phi4,llm,normative,DC solution design tool,4,Very important,7,zeroshot
phi4_subject-matter_07_20260629_112503,phi4_subject-matter,phi4,llm,subject-matter,DC solution design tool,4,Very important,7,zeroshot
llama_generalist_07_20260629_112503,llama_generalist,llama,llm,generalist,DC solution design tool,3,Important,7,zeroshot
llama_normative_07_20260629_112503,llama_normative,llama,llm,normative,DC solution design tool,3,Important,7,zeroshot
llama_subject-matter_07_20260629_112503,llama_subject-matter,llama,llm,subject-matter,DC solution design tool,3,Important,7,zeroshot
mistral_generalist_07_20260629_112503,mistral_generalist,mistral,llm,generalist,DC solution design tool,4,Very important,7,zeroshot
mistral_normative_07_20260629_112503,mistral_normative,mistral,llm,normative,DC solution design tool,4,Very important,7,zeroshot
mistral_subject-matter_07_20260629_112503,mistral_subject-matter,mistral,llm,subject-matter,DC solution design tool,4,Very important,7,zeroshot
gemma3_generalist_07_20260629_112503,gemma3_generalist,gemma3,llm,generalist,DC solution design tool,4,Very important,7,zeroshot
gemma3_normative_07_20260629_112503,gemma3_normative,gemma3,llm,normative,DC solution design tool,4,Very important,7,zeroshot
gemma3_subject-matter_07_20260629_112503,gemma3_subject-matter,gemma3,llm,subject-matter,DC solution design tool,4,Very important,7,zeroshot
phi4_generalist_08_20260629_112710,phi4_generalist,phi4,llm,generalist,DC solution design tool,4,Very important,8,zeroshot
phi4_normative_08_20260629_112710,phi4_normative,phi4,llm,normative,DC solution design tool,4,Very important,8,zeroshot
phi4_subject-matter_08_20260629_112710,phi4_subject-matter,phi4,llm,subject-matter,DC solution design tool,4,Very important,8,zeroshot
llama_generalist_08_20260629_112710,llama_generalist,llama,llm,generalist,DC solution design tool,3,Important,8,zeroshot
llama_normative_08_20260629_112710,llama_normative,llama,llm,normative,DC solution design tool,3,Important,8,zeroshot
llama_subject-matter_08_20260629_112710,llama_subject-matter,llama,llm,subject-matter,DC solution design tool,3,Important,8,zeroshot
mistral_generalist_08_20260629_112710,mistral_generalist,mistral,llm,generalist,DC solution design tool,4,Very important,8,zeroshot
mistral_normative_08_20260629_112710,mistral_normative,mistral,llm,normative,DC solution design tool,4,Very important,8,zeroshot
mistral_subject-matter_08_20260629_112710,mistral_subject-matter,mistral,llm,subject-matter,DC solution design tool,4,Very important,8,zeroshot
gemma3_generalist_08_20260629_112710,gemma3_generalist,gemma3,llm,generalist,DC solution design tool,4,Very important,8,zeroshot
gemma3_normative_08_20260629_112710,gemma3_normative,gemma3,llm,normative,DC solution design tool,4,Very important,8,zeroshot
gemma3_subject-matter_08_20260629_112710,gemma3_subject-matter,gemma3,llm,subject-matter,DC solution design tool,4,Very important,8,zeroshot
phi4_generalist_09_20260629_112824,phi4_generalist,phi4,llm,generalist,DC solution design tool,4,Very important,9,zeroshot
phi4_normative_09_20260629_112824,phi4_normative,phi4,llm,normative,DC solution design tool,4,Very important,9,zeroshot
phi4_subject-matter_09_20260629_112824,phi4_subject-matter,phi4,llm,subject-matter,DC solution design tool,4,Very important,9,zeroshot
llama_generalist_09_20260629_112824,llama_generalist,llama,llm,generalist,DC solution design tool,3,Important,9,zeroshot
llama_normative_09_20260629_112824,llama_normative,llama,llm,normative,DC solution design tool,3,Important,9,zeroshot
llama_subject-matter_09_20260629_112824,llama_subject-matter,llama,llm,subject-matter,DC solution design tool,3,Important,9,zeroshot
mistral_generalist_09_20260629_112824,mistral_generalist,mistral,llm,generalist,DC solution design tool,4,Very important,9,zeroshot
mistral_normative_09_20260629_112824,mistral_normative,mistral,llm,normative,DC solution design tool,4,Very important,9,zeroshot
mistral_subject-matter_09_20260629_112824,mistral_subject-matter,mistral,llm,subject-matter,DC solution design tool,4,Very important,9,zeroshot
gemma3_generalist_09_20260629_112824,gemma3_generalist,gemma3,llm,generalist,DC solution design tool,4,Very important,9,zeroshot
gemma3_normative_09_20260629_112824,gemma3_normative,gemma3,llm,normative,DC solution design tool,4,Very important,9,zeroshot
gemma3_subject-matter_09_20260629_112824,gemma3_subject-matter,gemma3,llm,subject-matter,DC solution design tool,4,Very important,9,zeroshot
phi4_generalist_10_20260629_113012,phi4_generalist,phi4,llm,generalist,DC solution design tool,4,Very important,10,zeroshot
phi4_normative_10_20260629_113012,phi4_normative,phi4,llm,normative,DC solution design tool,4,Very important,10,zeroshot
phi4_subject-matter_10_20260629_113012,phi4_subject-matter,phi4,llm,subject-matter,DC solution design tool,4,Very important,10,zeroshot
llama_generalist_10_20260629_113012,llama_generalist,llama,llm,generalist,DC solution design tool,3,Important,10,zeroshot
llama_normative_10_20260629_113012,llama_normative,llama,llm,normative,DC solution design tool,4,Very important,10,zeroshot
llama_subject-matter_10_20260629_113012,llama_subject-matter,llama,llm,subject-matter,DC solution design tool,3,Important,10,zeroshot
mistral_generalist_10_20260629_113012,mistral_generalist,mistral,llm,generalist,DC solution design tool,4,Very important,10,zeroshot
mistral_normative_10_20260629_113012,mistral_normative,mistral,llm,normative,DC solution design tool,4,Very important,10,zeroshot
mistral_subject-matter_10_20260629_113012,mistral_subject-matter,mistral,llm,subject-matter,DC solution design tool,4,Very important,10,zeroshot
gemma3_generalist_10_20260629_113012,gemma3_generalist,gemma3,llm,generalist,DC solution design tool,4,Very important,10,zeroshot
gemma3_normative_10_20260629_113012,gemma3_normative,gemma3,llm,normative,DC solution design tool,4,Very important,10,zeroshot
gemma3_subject-matter_10_20260629_113012,gemma3_subject-matter,gemma3,llm,subject-matter,DC solution design tool,4,Very important,10,zeroshot
phi4_generalist_11_20260629_113159,phi4_generalist,phi4,llm,generalist,DC solution design tool,4,Very important,11,zeroshot
phi4_normative_11_20260629_113159,phi4_normative,phi4,llm,normative,DC solution design tool,4,Very important,11,zeroshot
phi4_subject-matter_11_20260629_113159,phi4_subject-matter,phi4,llm,subject-matter,DC solution design tool,4,Very important,11,zeroshot
llama_generalist_11_20260629_113159,llama_generalist,llama,llm,generalist,DC solution design tool,3,Important,11,zeroshot
llama_normative_11_20260629_113159,llama_normative,llama,llm,normative,DC solution design tool,4,Very important,11,zeroshot
llama_subject-matter_11_20260629_113159,llama_subject-matter,llama,llm,subject-matter,DC solution design tool,3,Important,11,zeroshot
mistral_generalist_11_20260629_113159,mistral_generalist,mistral,llm,generalist,DC solution design tool,4,Very important,11,zeroshot
mistral_normative_11_20260629_113159,mistral_normative,mistral,llm,normative,DC solution design tool,4,Very important,11,zeroshot
mistral_subject-matter_11_20260629_113159,mistral_subject-matter,mistral,llm,subject-matter,DC solution design tool,4,Very important,11,zeroshot
gemma3_generalist_11_20260629_113159,gemma3_generalist,gemma3,llm,generalist,DC solution design tool,4,Very important,11,zeroshot
gemma3_normative_11_20260629_113159,gemma3_normative,gemma3,llm,normative,DC solution design tool,4,Very important,11,zeroshot
gemma3_subject-matter_11_20260629_113159,gemma3_subject-matter,gemma3,llm,subject-matter,DC solution design tool,4,Very important,11,zeroshot
phi4_generalist_12_20260629_113325,phi4_generalist,phi4,llm,generalist,DC solution design tool,4,Very important,12,zeroshot
phi4_normative_12_20260629_113325,phi4_normative,phi4,llm,normative,DC solution design tool,4,Very important,12,zeroshot
phi4_subject-matter_12_20260629_113325,phi4_subject-matter,phi4,llm,subject-matter,DC solution design tool,4,Very important,12,zeroshot
llama_generalist_12_20260629_113325,llama_generalist,llama,llm,generalist,DC solution design tool,4,Very important,12,zeroshot
llama_normative_12_20260629_113325,llama_normative,llama,llm,normative,DC solution design tool,3,Important,12,zeroshot
llama_subject-matter_12_20260629_113325,llama_subject-matter,llama,llm,subject-matter,DC solution design tool,4,Very important,12,zeroshot
mistral_generalist_12_20260629_113325,mistral_generalist,mistral,llm,generalist,DC solution design tool,4,Very important,12,zeroshot
mistral_normative_12_20260629_113325,mistral_normative,mistral,llm,normative,DC solution design tool,4,Very important,12,zeroshot
mistral_subject-matter_12_20260629_113325,mistral_subject-matter,mistral,llm,subject-matter,DC solution design tool,4,Very important,12,zeroshot
gemma3_generalist_12_20260629_113325,gemma3_generalist,gemma3,llm,generalist,DC solution design tool,4,Very important,12,zeroshot
gemma3_normative_12_20260629_113325,gemma3_normative,gemma3,llm,normative,DC solution design tool,4,Very important,12,zeroshot
gemma3_subject-matter_12_20260629_113325,gemma3_subject-matter,gemma3,llm,subject-matter,DC solution design tool,4,Very important,12,zeroshot
phi4_generalist_13_20260629_113457,phi4_generalist,phi4,llm,generalist,DC solution design tool,4,Very important,13,zeroshot
phi4_normative_13_20260629_113457,phi4_normative,phi4,llm,normative,DC solution design tool,4,Very important,13,zeroshot
phi4_subject-matter_13_20260629_113457,phi4_subject-matter,phi4,llm,subject-matter,DC solution design tool,4,Very important,13,zeroshot
llama_generalist_13_20260629_113457,llama_generalist,llama,llm,generalist,DC solution design tool,3,Important,13,zeroshot
llama_normative_13_20260629_113457,llama_normative,llama,llm,normative,DC solution design tool,3,Important,13,zeroshot
llama_subject-matter_13_20260629_113457,llama_subject-matter,llama,llm,subject-matter,DC solution design tool,4,Very important,13,zeroshot
mistral_generalist_13_20260629_113457,mistral_generalist,mistral,llm,generalist,DC solution design tool,3,Important,13,zeroshot
mistral_normative_13_20260629_113457,mistral_normative,mistral,llm,normative,DC solution design tool,4,Very important,13,zeroshot
mistral_subject-matter_13_20260629_113457,mistral_subject-matter,mistral,llm,subject-matter,DC solution design tool,4,Very important,13,zeroshot
gemma3_generalist_13_20260629_113457,gemma3_generalist,gemma3,llm,generalist,DC solution design tool,4,Very important,13,zeroshot
gemma3_normative_13_20260629_113457,gemma3_normative,gemma3,llm,normative,DC solution design tool,4,Very important,13,zeroshot
gemma3_subject-matter_13_20260629_113457,gemma3_subject-matter,gemma3,llm,subject-matter,DC solution design tool,4,Very important,13,zeroshot
phi4_generalist_14_20260629_113658,phi4_generalist,phi4,llm,generalist,DC solution design tool,4,Very important,14,zeroshot
phi4_normative_14_20260629_113658,phi4_normative,phi4,llm,normative,DC solution design tool,4,Very important,14,zeroshot
phi4_subject-matter_14_20260629_113658,phi4_subject-matter,phi4,llm,subject-matter,DC solution design tool,4,Very important,14,zeroshot
llama_generalist_14_20260629_113658,llama_generalist,llama,llm,generalist,DC solution design tool,3,Important,14,zeroshot
llama_normative_14_20260629_113658,llama_normative,llama,llm,normative,DC solution design tool,3,Important,14,zeroshot
llama_subject-matter_14_20260629_113658,llama_subject-matter,llama,llm,subject-matter,DC solution design tool,3,Important,14,zeroshot
mistral_generalist_14_20260629_113658,mistral_generalist,mistral,llm,generalist,DC solution design tool,4,Very important,14,zeroshot
mistral_normative_14_20260629_113658,mistral_normative,mistral,llm,normative,DC solution design tool,4,Very important,14,zeroshot
mistral_subject-matter_14_20260629_113658,mistral_subject-matter,mistral,llm,subject-matter,DC solution design tool,4,Very important,14,zeroshot
gemma3_generalist_14_20260629_113658,gemma3_generalist,gemma3,llm,generalist,DC solution design tool,4,Very important,14,zeroshot
gemma3_normative_14_20260629_113658,gemma3_normative,gemma3,llm,normative,DC solution design tool,4,Very important,14,zeroshot
gemma3_subject-matter_14_20260629_113658,gemma3_subject-matter,gemma3,llm,subject-matter,DC solution design tool,4,Very important,14,zeroshot
phi4_generalist_15_20260629_113831,phi4_generalist,phi4,llm,generalist,DC solution design tool,4,Very important,15,zeroshot
phi4_normative_15_20260629_113831,phi4_normative,phi4,llm,normative,DC solution design tool,4,Very important,15,zeroshot
phi4_subject-matter_15_20260629_113831,phi4_subject-matter,phi4,llm,subject-matter,DC solution design tool,4,Very important,15,zeroshot
llama_generalist_15_20260629_113831,llama_generalist,llama,llm,generalist,DC solution design tool,3,Important,15,zeroshot
llama_normative_15_20260629_113831,llama_normative,llama,llm,normative,DC solution design tool,4,Very important,15,zeroshot
llama_subject-matter_15_20260629_113831,llama_subject-matter,llama,llm,subject-matter,DC solution design tool,3,Important,15,zeroshot
mistral_generalist_15_20260629_113831,mistral_generalist,mistral,llm,generalist,DC solution design tool,4,Very important,15,zeroshot
mistral_normative_15_20260629_113831,mistral_normative,mistral,llm,normative,DC solution design tool,4,Very important,15,zeroshot
mistral_subject-matter_15_20260629_113831,mistral_subject-matter,mistral,llm,subject-matter,DC solution design tool,4,Very important,15,zeroshot
gemma3_generalist_15_20260629_113831,gemma3_generalist,gemma3,llm,generalist,DC solution design tool,4,Very important,15,zeroshot
gemma3_normative_15_20260629_113831,gemma3_normative,gemma3,llm,normative,DC solution design tool,4,Very important,15,zeroshot
gemma3_subject-matter_15_20260629_113831,gemma3_subject-matter,gemma3,llm,subject-matter,DC solution design tool,4,Very important,15,zeroshot
phi4_generalist_16_20260629_114043,phi4_generalist,phi4,llm,generalist,DC solution design tool,3,Important,16,zeroshot
phi4_normative_16_20260629_114043,phi4_normative,phi4,llm,normative,DC solution design tool,4,Very important,16,zeroshot
phi4_subject-matter_16_20260629_114043,phi4_subject-matter,phi4,llm,subject-matter,DC solution design tool,4,Very important,16,zeroshot
llama_generalist_16_20260629_114043,llama_generalist,llama,llm,generalist,DC solution design tool,3,Important,16,zeroshot
llama_normative_16_20260629_114043,llama_normative,llama,llm,normative,DC solution design tool,3,Important,16,zeroshot
llama_subject-matter_16_20260629_114043,llama_subject-matter,llama,llm,subject-matter,DC solution design tool,3,Important,16,zeroshot
mistral_generalist_16_20260629_114043,mistral_generalist,mistral,llm,generalist,DC solution design tool,4,Very important,16,zeroshot
mistral_normative_16_20260629_114043,mistral_normative,mistral,llm,normative,DC solution design tool,4,Very important,16,zeroshot
mistral_subject-matter_16_20260629_114043,mistral_subject-matter,mistral,llm,subject-matter,DC solution design tool,4,Very important,16,zeroshot
gemma3_generalist_16_20260629_114043,gemma3_generalist,gemma3,llm,generalist,DC solution design tool,4,Very important,16,zeroshot
gemma3_normative_16_20260629_114043,gemma3_normative,gemma3,llm,normative,DC solution design tool,4,Very important,16,zeroshot
gemma3_subject-matter_16_20260629_114043,gemma3_subject-matter,gemma3,llm,subject-matter,DC solution design tool,4,Very important,16,zeroshot
phi4_generalist_17_20260629_114203,phi4_generalist,phi4,llm,generalist,DC solution design tool,4,Very important,17,zeroshot
phi4_normative_17_20260629_114203,phi4_normative,phi4,llm,normative,DC solution design tool,4,Very important,17,zeroshot
phi4_subject-matter_17_20260629_114203,phi4_subject-matter,phi4,llm,subject-matter,DC solution design tool,4,Very important,17,zeroshot
llama_generalist_17_20260629_114203,llama_generalist,llama,llm,generalist,DC solution design tool,3,Important,17,zeroshot
llama_normative_17_20260629_114203,llama_normative,llama,llm,normative,DC solution design tool,3,Important,17,zeroshot
llama_subject-matter_17_20260629_114203,llama_subject-matter,llama,llm,subject-matter,DC solution design tool,3,Important,17,zeroshot
mistral_generalist_17_20260629_114203,mistral_generalist,mistral,llm,generalist,DC solution design tool,4,Very important,17,zeroshot
mistral_normative_17_20260629_114203,mistral_normative,mistral,llm,normative,DC solution design tool,4,Very important,17,zeroshot
mistral_subject-matter_17_20260629_114203,mistral_subject-matter,mistral,llm,subject-matter,DC solution design tool,4,Very important,17,zeroshot
gemma3_generalist_17_20260629_114203,gemma3_generalist,gemma3,llm,generalist,DC solution design tool,4,Very important,17,zeroshot
gemma3_normative_17_20260629_114203,gemma3_normative,gemma3,llm,normative,DC solution design tool,4,Very important,17,zeroshot
gemma3_subject-matter_17_20260629_114203,gemma3_subject-matter,gemma3,llm,subject-matter,DC solution design tool,4,Very important,17,zeroshot
phi4_generalist_18_20260629_114424,phi4_generalist,phi4,llm,generalist,DC solution design tool,4,Very important,18,zeroshot
phi4_normative_18_20260629_114424,phi4_normative,phi4,llm,normative,DC solution design tool,3,Important,18,zeroshot
phi4_subject-matter_18_20260629_114424,phi4_subject-matter,phi4,llm,subject-matter,DC solution design tool,4,Very important,18,zeroshot
llama_generalist_18_20260629_114424,llama_generalist,llama,llm,generalist,DC solution design tool,3,Important,18,zeroshot
llama_normative_18_20260629_114424,llama_normative,llama,llm,normative,DC solution design tool,3,Important,18,zeroshot
llama_subject-matter_18_20260629_114424,llama_subject-matter,llama,llm,subject-matter,DC solution design tool,3,Important,18,zeroshot
mistral_generalist_18_20260629_114424,mistral_generalist,mistral,llm,generalist,DC solution design tool,3,Important,18,zeroshot
mistral_normative_18_20260629_114424,mistral_normative,mistral,llm,normative,DC solution design tool,4,Very important,18,zeroshot
mistral_subject-matter_18_20260629_114424,mistral_subject-matter,mistral,llm,subject-matter,DC solution design tool,4,Very important,18,zeroshot
gemma3_generalist_18_20260629_114424,gemma3_generalist,gemma3,llm,generalist,DC solution design tool,4,Very important,18,zeroshot
gemma3_normative_18_20260629_114424,gemma3_normative,gemma3,llm,normative,DC solution design tool,4,Very important,18,zeroshot
gemma3_subject-matter_18_20260629_114424,gemma3_subject-matter,gemma3,llm,subject-matter,DC solution design tool,4,Very important,18,zeroshot
phi4_generalist_19_20260629_114548,phi4_generalist,phi4,llm,generalist,DC solution design tool,4,Very important,19,zeroshot
phi4_normative_19_20260629_114548,phi4_normative,phi4,llm,normative,DC solution design tool,4,Very important,19,zeroshot
phi4_subject-matter_19_20260629_114548,phi4_subject-matter,phi4,llm,subject-matter,DC solution design tool,4,Very important,19,zeroshot
llama_generalist_19_20260629_114548,llama_generalist,llama,llm,generalist,DC solution design tool,4,Very important,19,zeroshot
llama_normative_19_20260629_114548,llama_normative,llama,llm,normative,DC solution design tool,3,Important,19,zeroshot
llama_subject-matter_19_20260629_114548,llama_subject-matter,llama,llm,subject-matter,DC solution design tool,3,Important,19,zeroshot
mistral_generalist_19_20260629_114548,mistral_generalist,mistral,llm,generalist,DC solution design tool,3,Important,19,zeroshot
mistral_normative_19_20260629_114548,mistral_normative,mistral,llm,normative,DC solution design tool,4,Very important,19,zeroshot
mistral_subject-matter_19_20260629_114548,mistral_subject-matter,mistral,llm,subject-matter,DC solution design tool,4,Very important,19,zeroshot
gemma3_generalist_19_20260629_114548,gemma3_generalist,gemma3,llm,generalist,DC solution design tool,4,Very important,19,zeroshot
gemma3_normative_19_20260629_114548,gemma3_normative,gemma3,llm,normative,DC solution design tool,4,Very important,19,zeroshot
gemma3_subject-matter_19_20260629_114548,gemma3_subject-matter,gemma3,llm,subject-matter,DC solution design tool,4,Very important,19,zeroshot
phi4_generalist_20_20260629_114735,phi4_generalist,phi4,llm,generalist,DC solution design tool,4,Very important,20,zeroshot
phi4_normative_20_20260629_114735,phi4_normative,phi4,llm,normative,DC solution design tool,4,Very important,20,zeroshot
phi4_subject-matter_20_20260629_114735,phi4_subject-matter,phi4,llm,subject-matter,DC solution design tool,4,Very important,20,zeroshot
llama_generalist_20_20260629_114735,llama_generalist,llama,llm,generalist,DC solution design tool,3,Important,20,zeroshot
llama_normative_20_20260629_114735,llama_normative,llama,llm,normative,DC solution design tool,3,Important,20,zeroshot
llama_subject-matter_20_20260629_114735,llama_subject-matter,llama,llm,subject-matter,DC solution design tool,3,Important,20,zeroshot
mistral_generalist_20_20260629_114735,mistral_generalist,mistral,llm,generalist,DC solution design tool,4,Very important,20,zeroshot
mistral_normative_20_20260629_114735,mistral_normative,mistral,llm,normative,DC solution design tool,4,Very important,20,zeroshot
mistral_subject-matter_20_20260629_114735,mistral_subject-matter,mistral,llm,subject-matter,DC solution design tool,4,Very important,20,zeroshot
gemma3_generalist_20_20260629_114735,gemma3_generalist,gemma3,llm,generalist,DC solution design tool,4,Very important,20,zeroshot
gemma3_normative_20_20260629_114735,gemma3_normative,gemma3,llm,normative,DC solution design tool,4,Very important,20,zeroshot
gemma3_subject-matter_20_20260629_114735,gemma3_subject-matter,gemma3,llm,subject-matter,DC solution design tool,4,Very important,20,zeroshot
phi4_generalist_21_20260629_114855,phi4_generalist,phi4,llm,generalist,DC solution design tool,4,Very important,21,zeroshot
phi4_normative_21_20260629_114855,phi4_normative,phi4,llm,normative,DC solution design tool,4,Very important,21,zeroshot
phi4_subject-matter_21_20260629_114855,phi4_subject-matter,phi4,llm,subject-matter,DC solution design tool,4,Very important,21,zeroshot
llama_generalist_21_20260629_114855,llama_generalist,llama,llm,generalist,DC solution design tool,3,Important,21,zeroshot
llama_normative_21_20260629_114855,llama_normative,llama,llm,normative,DC solution design tool,3,Important,21,zeroshot
llama_subject-matter_21_20260629_114855,llama_subject-matter,llama,llm,subject-matter,DC solution design tool,3,Important,21,zeroshot
mistral_generalist_21_20260629_114855,mistral_generalist,mistral,llm,generalist,DC solution design tool,4,Very important,21,zeroshot
mistral_normative_21_20260629_114855,mistral_normative,mistral,llm,normative,DC solution design tool,4,Very important,21,zeroshot
mistral_subject-matter_21_20260629_114855,mistral_subject-matter,mistral,llm,subject-matter,DC solution design tool,4,Very important,21,zeroshot
gemma3_generalist_21_20260629_114855,gemma3_generalist,gemma3,llm,generalist,DC solution design tool,4,Very important,21,zeroshot
gemma3_normative_21_20260629_114855,gemma3_normative,gemma3,llm,normative,DC solution design tool,4,Very important,21,zeroshot
gemma3_subject-matter_21_20260629_114855,gemma3_subject-matter,gemma3,llm,subject-matter,DC solution design tool,4,Very important,21,zeroshot
phi4_generalist_22_20260629_115034,phi4_generalist,phi4,llm,generalist,DC solution design tool,4,Very important,22,zeroshot
phi4_normative_22_20260629_115034,phi4_normative,phi4,llm,normative,DC solution design tool,4,Very important,22,zeroshot
phi4_subject-matter_22_20260629_115034,phi4_subject-matter,phi4,llm,subject-matter,DC solution design tool,4,Very important,22,zeroshot
llama_generalist_22_20260629_115034,llama_generalist,llama,llm,generalist,DC solution design tool,3,Important,22,zeroshot
llama_normative_22_20260629_115034,llama_normative,llama,llm,normative,DC solution design tool,3,Important,22,zeroshot
llama_subject-matter_22_20260629_115034,llama_subject-matter,llama,llm,subject-matter,DC solution design tool,4,Very important,22,zeroshot
mistral_generalist_22_20260629_115034,mistral_generalist,mistral,llm,generalist,DC solution design tool,4,Very important,22,zeroshot
mistral_normative_22_20260629_115034,mistral_normative,mistral,llm,normative,DC solution design tool,4,Very important,22,zeroshot
mistral_subject-matter_22_20260629_115034,mistral_subject-matter,mistral,llm,subject-matter,DC solution design tool,4,Very important,22,zeroshot
gemma3_generalist_22_20260629_115034,gemma3_generalist,gemma3,llm,generalist,DC solution design tool,4,Very important,22,zeroshot
gemma3_normative_22_20260629_115034,gemma3_normative,gemma3,llm,normative,DC solution design tool,4,Very important,22,zeroshot
gemma3_subject-matter_22_20260629_115034,gemma3_subject-matter,gemma3,llm,subject-matter,DC solution design tool,4,Very important,22,zeroshot
phi4_generalist_23_20260629_115147,phi4_generalist,phi4,llm,generalist,DC solution design tool,4,Very important,23,zeroshot
phi4_normative_23_20260629_115147,phi4_normative,phi4,llm,normative,DC solution design tool,4,Very important,23,zeroshot
phi4_subject-matter_23_20260629_115147,phi4_subject-matter,phi4,llm,subject-matter,DC solution design tool,4,Very important,23,zeroshot
llama_generalist_23_20260629_115147,llama_generalist,llama,llm,generalist,DC solution design tool,3,Important,23,zeroshot
llama_normative_23_20260629_115147,llama_normative,llama,llm,normative,DC solution design tool,3,Important,23,zeroshot
llama_subject-matter_23_20260629_115147,llama_subject-matter,llama,llm,subject-matter,DC solution design tool,3,Important,23,zeroshot
mistral_generalist_23_20260629_115147,mistral_generalist,mistral,llm,generalist,DC solution design tool,4,Very important,23,zeroshot
mistral_normative_23_20260629_115147,mistral_normative,mistral,llm,normative,DC solution design tool,4,Very important,23,zeroshot
mistral_subject-matter_23_20260629_115147,mistral_subject-matter,mistral,llm,subject-matter,DC solution design tool,4,Very important,23,zeroshot
gemma3_generalist_23_20260629_115147,gemma3_generalist,gemma3,llm,generalist,DC solution design tool,4,Very important,23,zeroshot
gemma3_normative_23_20260629_115147,gemma3_normative,gemma3,llm,normative,DC solution design tool,4,Very important,23,zeroshot
gemma3_subject-matter_23_20260629_115147,gemma3_subject-matter,gemma3,llm,subject-matter,DC solution design tool,4,Very important,23,zeroshot
phi4_generalist_24_20260629_115308,phi4_generalist,phi4,llm,generalist,DC solution design tool,4,Very important,24,zeroshot
phi4_normative_24_20260629_115308,phi4_normative,phi4,llm,normative,DC solution design tool,4,Very important,24,zeroshot
phi4_subject-matter_24_20260629_115308,phi4_subject-matter,phi4,llm,subject-matter,DC solution design tool,4,Very important,24,zeroshot
llama_generalist_24_20260629_115308,llama_generalist,llama,llm,generalist,DC solution design tool,3,Important,24,zeroshot
llama_normative_24_20260629_115308,llama_normative,llama,llm,normative,DC solution design tool,3,Important,24,zeroshot
llama_subject-matter_24_20260629_115308,llama_subject-matter,llama,llm,subject-matter,DC solution design tool,3,Important,24,zeroshot
mistral_generalist_24_20260629_115308,mistral_generalist,mistral,llm,generalist,DC solution design tool,4,Very important,24,zeroshot
mistral_normative_24_20260629_115308,mistral_normative,mistral,llm,normative,DC solution design tool,4,Very important,24,zeroshot
mistral_subject-matter_24_20260629_115308,mistral_subject-matter,mistral,llm,subject-matter,DC solution design tool,4,Very important,24,zeroshot
gemma3_generalist_24_20260629_115308,gemma3_generalist,gemma3,llm,generalist,DC solution design tool,4,Very important,24,zeroshot
gemma3_normative_24_20260629_115308,gemma3_normative,gemma3,llm,normative,DC solution design tool,4,Very important,24,zeroshot
gemma3_subject-matter_24_20260629_115308,gemma3_subject-matter,gemma3,llm,subject-matter,DC solution design tool,4,Very important,24,zeroshot
phi4_generalist_25_20260629_115437,phi4_generalist,phi4,llm,generalist,DC solution design tool,4,Very important,25,zeroshot
phi4_normative_25_20260629_115437,phi4_normative,phi4,llm,normative,DC solution design tool,4,Very important,25,zeroshot
phi4_subject-matter_25_20260629_115437,phi4_subject-matter,phi4,llm,subject-matter,DC solution design tool,4,Very important,25,zeroshot
llama_generalist_25_20260629_115437,llama_generalist,llama,llm,generalist,DC solution design tool,3,Important,25,zeroshot
llama_normative_25_20260629_115437,llama_normative,llama,llm,normative,DC solution design tool,3,Important,25,zeroshot
llama_subject-matter_25_20260629_115437,llama_subject-matter,llama,llm,subject-matter,DC solution design tool,4,Very important,25,zeroshot
mistral_generalist_25_20260629_115437,mistral_generalist,mistral,llm,generalist,DC solution design tool,4,Very important,25,zeroshot
mistral_normative_25_20260629_115437,mistral_normative,mistral,llm,normative,DC solution design tool,4,Very important,25,zeroshot
mistral_subject-matter_25_20260629_115437,mistral_subject-matter,mistral,llm,subject-matter,DC solution design tool,4,Very important,25,zeroshot
gemma3_generalist_25_20260629_115437,gemma3_generalist,gemma3,llm,generalist,DC solution design tool,4,Very important,25,zeroshot
gemma3_normative_25_20260629_115437,gemma3_normative,gemma3,llm,normative,DC solution design tool,4,Very important,25,zeroshot
gemma3_subject-matter_25_20260629_115437,gemma3_subject-matter,gemma3,llm,subject-matter,DC solution design tool,4,Very important,25,zeroshot
phi4_generalist_26_20260629_115611,phi4_generalist,phi4,llm,generalist,DC solution design tool,4,Very important,26,zeroshot
phi4_normative_26_20260629_115611,phi4_normative,phi4,llm,normative,DC solution design tool,4,Very important,26,zeroshot
phi4_subject-matter_26_20260629_115611,phi4_subject-matter,phi4,llm,subject-matter,DC solution design tool,4,Very important,26,zeroshot
llama_generalist_26_20260629_115611,llama_generalist,llama,llm,generalist,DC solution design tool,4,Very important,26,zeroshot
llama_normative_26_20260629_115611,llama_normative,llama,llm,normative,DC solution design tool,3,Important,26,zeroshot
llama_subject-matter_26_20260629_115611,llama_subject-matter,llama,llm,subject-matter,DC solution design tool,3,Important,26,zeroshot
